,index,County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,Water Area km2,Water Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
46,24,Gilpin,2775.5,1333.9,393.6,581.0,46.3,0.0,321.2,12.1,87.4,0.0,8.0,47.0,2019.0,5960.75,8047.0,0.942,0.364,39.861082,-105.528947,45.4198717948718,27.8044871794872,35.8038461538462,51.575,9.61570512820513,31.2865384615385,275.803846153846,23.8076923076923,7.0448717948718
47,5,Bent,1806.5,1245.0,325.5,136.2,0.0,9.3,70.8,1.2,18.5,0.0,8.0,11.0,2019.0,5769.75,8011.0,73.094,28.222,37.931891,-103.077584,71.050641025641,39.8641025641026,54.6897435897436,50.2762820512821,4.03320512820513,17.5923076923077,241.385897435897,17.3064102564103,7.21153846153846
48,13,Crowley,1319.0,863.8,217.6,131.9,0.0,0.0,101.3,0.0,0.0,4.4,8.0,25.0,2019.0,5657.75,8025.0,33.43,12.908,38.321956,-103.787562,70.749358974359,40.2775641025641,54.6365384615385,48.3166666666667,4.88807692307692,16.0083333333333,250.958333333333,16.6884615384615,6.96794871794872
49,37,Lincoln,1512.3,876.5,357.9,205.0,4.8,0.0,43.8,0.0,19.4,4.9,8.0,73.0,2019.0,5565.25,8073.0,22.781,8.796,38.99374,-103.507555,65.0730769230769,33.3403846153846,48.7365384615385,52.3044871794872,4.59410256410256,22.9089743589744,281.045512820513,16.8474358974359,6.93589743589744
50,61,Washington,2065.7,785.7,693.4,492.7,4.7,0.0,51.9,0.0,24.7,12.6,8.0,121.0,2019.0,4846.5,8121.0,15.207,5.872,39.965413,-103.209605,64.9358974358974,37.9673076923077,50.9307692307692,52.9839743589744,2.35057692307692,22.2980769230769,219.221153846154,16.5346153846154,6.45512820512821
51,46,Ouray,2211.7,1004.8,558.0,300.0,0.0,0.0,310.6,24.0,9.0,5.3,8.0,91.0,2019.0,4765.25,8091.0,1.6,0.618,38.1506,-107.767133,57.000641025641,36.7448717948718,46.4314102564103,45.4711538461539,5.58230769230769,31.2884615384615,267.966666666667,16.1570512820513,7.26282051282051
52,14,Custer,2214.1,68.4,1204.0,314.0,0.6,5.2,541.9,55.8,22.8,3.6,8.0,27.0,2019.0,4715.5,8027.0,3.365,1.299,38.101994,-105.373515,61.4070512820513,34.6423076923077,47.0961538461539,47.5711538461539,5.74275641025641,21.3929487179487,256.414102564103,15.9621794871795,7.3974358974359
53,48,Phillips,1704.7,1065.7,277.2,322.0,2.4,0.0,3.8,0.0,26.6,7.7,8.0,95.0,2019.0,4319.5,8095.0,0.302,0.117,40.594712,-102.345105,68.3538461538462,39.3512820512821,52.9397435897436,56.8224358974359,2.59083333333333,16.7628205128205,222.436538461538,14.9538461538462,5.94230769230769
54,12,Costilla,1666.0,98.6,741.4,198.2,86.6,0.0,440.6,6.3,94.3,0.0,8.0,23.0,2019.0,3717.5,8023.0,8.829,3.409,37.277547,-105.42894,57.0814102564103,28.6467948717949,42.1198717948718,51.4621794871795,4.16660256410256,22.6512820512821,241.589102564103,16.0532051282051,7.65384615384615
55,4,Baca,1678.5,1123.7,358.3,159.3,0.0,0.0,13.2,4.9,18.7,0.8,8.0,9.0,2019.0,3568.75,8009.0,6.142,2.372,37.303144,-102.535457,70.8089743589744,40.6121794871795,55.1923076923077,50.4153846153846,2.96467948717949,18.8403846153846,295.008333333333,17.8121794871795,7.26282051282051
56,58,Sedgwick,974.9,556.0,198.0,202.5,0.6,0.8,8.4,0.0,7.7,1.4,8.0,115.0,2019.0,2333.75,8115.0,3.531,1.363,40.871568,-102.355358,66.9692307692308,38.5474358974359,51.873717948718,57.542307692307695,3.57903846153846,19.6839743589744,230.927564102564,16.9064102564103,6.74358974358974
57,9,Cheyenne,779.8,404.0,237.4,104.6,4.5,0.0,20.0,0.0,9.4,0.0,8.0,17.0,2019.0,2047.75,8017.0,8.166,3.153,38.835387,-102.604585,67.8538461538462,38.9365384615385,52.7480769230769,52.5775641025641,2.67089743589744,21.5185897435897,205.866025641026,17.0570512820513,6.96794871794872
58,17,Dolores,818.4,274.8,313.7,68.4,2.4,0.0,144.4,0.0,15.3,0.0,8.0,33.0,2019.0,1832.5,8033.0,2.716,1.049,37.747602,-108.530383,60.4839743589744,36.66217948717951,48.2416666666667,46.0794871794872,3.6326282051282095,25.5525641025641,277.43141025641,19.7583333333333,7.8525641025641
59,31,Kiowa,613.6,376.4,137.4,71.0,0.4,0.0,14.1,0.0,11.9,2.6,8.0,61.0,2019.0,1442.25,8061.0,47.033,18.16,38.388466,-102.75621,71.1910256410256,38.9717948717949,54.4692307692308,51.2314102564103,3.36544871794872,19.1051282051282,207.478205128205,16.9564102564103,6.91025641025641
60,29,Jackson,596.1,146.4,66.6,215.1,0.0,0.0,165.3,0.0,3.8,0.0,8.0,57.0,2019.0,1311.25,8057.0,18.75,7.239,40.663432,-106.329248,52.4717948717949,24.8121794871795,38.85,54.993589743589695,3.92628205128205,30.6903846153846,249.032692307692,17.2615384615385,7.23076923076923
61,27,Hinsdale,377.7,20.4,171.3,64.2,0.0,1.8,117.1,1.0,2.4,0.0,8.0,53.0,2019.0,834.0,8053.0,15.325,5.917,37.811625,-107.383405,52.5320512820513,33.7647435897436,42.6512820512821,48.5897435897436,7.45173076923077,33.8916666666667,253.814743589744,15.9621794871795,7.17948717948718
62,40,Mineral,383.1,27.0,140.6,71.5,0.0,0.0,138.8,2.0,3.7,0.0,8.0,79.0,2019.0,833.5,8079.0,5.222,2.016,37.651478,-106.9323,49.0897435897436,29.9442307692308,38.500641025641,55.6173076923077,5.34205128205128,32.9038461538462,217.612179487179,18.5724358974359,7.75
63,56,San Juan,284.2,26.8,147.8,42.0,0.0,10.3,55.4,0.0,2.0,0.0,8.0,111.0,2019.0,587.0,8111.0,2.036,0.786,37.781075,-107.670257,55.36794871794871,35.5147435897436,44.975641025641,45.7858974358974,3.89955128205128,33.8858974358974,263.936538461539,16.1211538461538,7.09615384615385
