County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
Logan,8183,4884,1083,2019,7,0,103,0,82,5,8,75,2018,21689,8075,Sterling,"22,709","4,761.81","1,838.55",16.364,6.318,"4,778.18","1,844.87",40.728091,-103.090464,65.63397435897440,35.59102564102560,49.93333333333330,58.8724358974359,2.697628205128210,22.775641025641000,234.02628205128200,16.613461538461500,6.6923076923076900
Logan,8393,4956,1229,2041,4,0,109,0,51,3,8,75,2019,22380,8075,Sterling,"22,709","4,761.81","1,838.55",16.364,6.318,"4,778.18","1,844.87",40.728091,-103.090464,65.63397435897440,35.59102564102560,49.93333333333330,58.8724358974359,2.697628205128210,22.775641025641000,234.02628205128200,16.613461538461500,6.6923076923076900
Logan,8301,4656,1180,2320,1,0,98,0,42,4,8,75,2020,22282,8075,Sterling,"22,709","4,761.81","1,838.55",16.364,6.318,"4,778.18","1,844.87",40.728091,-103.090464,65.63397435897440,35.59102564102560,49.93333333333330,58.8724358974359,2.697628205128210,22.775641025641000,234.02628205128200,16.613461538461500,6.6923076923076900
Montezuma,10520,4115,2761,1501,19,25,1839,25,224,11,8,83,2017,25770,8083,Cortez,"25,535","5,256.45","2,029.53",27.517,10.624,"5,283.97","2,040.15",37.338025,-108.595786,66.15192307692310,35.18333333333330,50.636538461538500,48.65833333333330,1.9766025641025600,18.4275641025641,237.9096153846150,16.68653846153850,7.3076923076923100
Montezuma,10615,4009,2972,1567,67,26,1741,24,198,11,8,83,2018,25909,8083,Cortez,"25,535","5,256.45","2,029.53",27.517,10.624,"5,283.97","2,040.15",37.338025,-108.595786,66.15192307692310,35.18333333333330,50.636538461538500,48.65833333333330,1.9766025641025600,18.4275641025641,237.9096153846150,16.68653846153850,7.3076923076923100
Montezuma,10655,3910,3122,1661,55,69,1678,0,158,2,8,83,2019,26031,8083,Cortez,"25,535","5,256.45","2,029.53",27.517,10.624,"5,283.97","2,040.15",37.338025,-108.595786,66.15192307692310,35.18333333333330,50.636538461538500,48.65833333333330,1.9766025641025600,18.4275641025641,237.9096153846150,16.68653846153850,7.3076923076923100
Montezuma,10521,4098,3171,1649,57,76,1300,9,161,0,8,83,2020,26266,8083,Cortez,"25,535","5,256.45","2,029.53",27.517,10.624,"5,283.97","2,040.15",37.338025,-108.595786,66.15192307692310,35.18333333333330,50.636538461538500,48.65833333333330,1.9766025641025600,18.4275641025641,237.9096153846150,16.68653846153850,7.3076923076923100
San Miguel,3301,1427,471,968,0,3,399,23,3,7,8,113,2017,7804,8113,Telluride,"7,359","3,332.31","1,286.61",5.214,2.013,"3,337.52","1,288.62",38.009374,-108.427326,58.619230769230800,37.06089743589740,47.36987179487180,45.09679487179490,4.914551282051280,29.47820512820510,291.1051282051280,17.96474358974360,7.506410256410260
San Miguel,3441,1539,452,1062,8,0,340,30,3,7,8,113,2018,7968,8113,Telluride,"7,359","3,332.31","1,286.61",5.214,2.013,"3,337.52","1,288.62",38.009374,-108.427326,58.619230769230800,37.06089743589740,47.36987179487180,45.09679487179490,4.914551282051280,29.47820512820510,291.1051282051280,17.96474358974360,7.506410256410260
San Miguel,3552,1654,504,1026,18,0,302,37,0,11,8,113,2019,8049,8113,Telluride,"7,359","3,332.31","1,286.61",5.214,2.013,"3,337.52","1,288.62",38.009374,-108.427326,58.619230769230800,37.06089743589740,47.36987179487180,45.09679487179490,4.914551282051280,29.47820512820510,291.1051282051280,17.96474358974360,7.506410256410260
